Student ID,WorldSpace,index,Submission_TreeDist_Successive,nb_tentative,pct_activity,error,missing,move1,move2,pickup1,place1,nb_error,nb_missing,nb_move1,nb_move2,nb_pickup1,nb_place1,pct_error,pct_missing,pct_move1,pct_move2,pct_pickup1,pct_place1,euclidean_distance,delta_successive,success,has_error,activity,seq_error,case1,case2,case3,cases,activity_all,bucket_delta_successive,bucket_Submission_TreeDist_Successive,median_split_delta_successive,median_split_Submission_TreeDist_Successive,at_least_2_tentatives
AUS123001,"['ra-world-arm,E,E,E,E,', 'ra-world-arm,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'ra-world-shape ra-world-shapeA,E,E,E,E,', 'ra-world-shape ra-world-shapeA,E,E,E,E,false']",0,0.0,4,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0.25,0.0,0.25,0.0,0.0,0.0,0.6439209162167847,0.0,1,1,1,none,0,0,0,none,1,low,low,low,low,1
AUS123001,"['ra-world-arm,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,ra-world-shape ra-world-shapeA,E,E,E,', 'E,ra-world-shape ra-world-shapeA,E,E,E,false']",1,5.0,4,0.25,0,0,0,0,0,0,1,0,1,0,0,0,0.25,0.0,0.25,0.0,0.0,0.0,0.4685212856658182,0.19611613513818404,1,1,1,none,0,0,0,none,1,high,high,high,high,1
AUS123001,"['E,E,E,E,ra-world-arm,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'ra-world-shape ra-world-shapeA,E,E,ra-world-shape ra-world-shapeA,E,move1']",2,2.0,4,0.5,1,0,1,0,0,0,1,0,1,0,0,0,0.25,0.0,0.25,0.0,0.0,0.0,0.40004733905269535,0.2526944548866976,1,1,1,move1,0,1,0,case2,1,high,low,high,low,1
AUS123001,"['ra-world-arm,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,ra-world-shape ra-world-shapeA,E,', 'E,E,E,ra-world-shape ra-world-shapeA,E,false']",3,4.0,4,0.75,0,0,0,0,0,0,1,0,1,0,0,0,0.25,0.0,0.25,0.0,0.0,0.0,0.15617376188860607,0.24693239916239743,1,1,1,none,0,0,0,none,1,high,high,high,high,1
AUS123001,"['ra-world-arm,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,ra-world-shape ra-world-shapeA,', 'E,E,E,E,ra-world-shape ra-world-shapeA,false']",4,2.0,4,1.0,0,0,0,0,0,0,1,0,1,0,0,0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.15617376188860607,1,1,1,none,0,0,0,none,1,high,low,high,low,1
AUS123073,"['ra-world-arm,E,E,E,E,', 'ra-world-arm,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'ra-world-shape ra-world-shapeA,E,E,E,E,', 'ra-world-shape ra-world-shapeA,E,E,E,E,false']",0,0.0,4,0.0,0,0,0,0,0,0,3,2,3,0,0,0,0.75,0.5,0.75,0.0,0.0,0.0,0.6439209162167847,0.0,1,1,1,none,0,0,0,none,13,low,low,low,low,1
AUS123073,"['ra-world-arm,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,ra-world-shape ra-world-shapeA,E,E,E,', 'E,ra-world-shape ra-world-shapeA,E,E,E,move1']",1,8.0,4,0.25,1,0,1,0,0,0,3,2,3,0,0,0,0.75,0.5,0.75,0.0,0.0,0.0,0.4685212856658182,0.19611613513818404,1,1,1,move1,0,1,0,case2,13,high,high,high,high,1
AUS123073,"['E,E,E,E,ra-world-arm,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'ra-world-shape ra-world-shapeA,E,E,E,E,move1']",2,2.0,4,0.5,1,1,1,0,0,0,3,2,3,0,0,0,0.75,0.5,0.75,0.0,0.0,0.0,0.6246950475544243,0.15617376188860607,1,1,1,move1,1,0,0,case1,13,high,low,high,low,1
AUS123073,"['E,E,E,E,ra-world-arm,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'ra-world-shape ra-world-shapeA,E,E,E,E,move1']",3,1.0,4,0.75,1,1,1,0,0,0,3,2,3,0,0,0,0.75,0.5,0.75,0.0,0.0,0.0,0.6246950475544243,0.0,1,1,1,move1,1,0,0,case1,13,low,low,low,low,1
AUS123073,"['ra-world-arm,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,E,', 'E,E,E,E,ra-world-shape ra-world-shapeA,', 'E,E,E,E,ra-world-shape ra-world-shapeA,false']",4,2.0,4,1.0,0,0,0,0,0,0,3,2,3,0,0,0,0.75,0.5,0.75,0.0,0.0,0.0,0.0,0.31234752377721214,1,1,1,none,0,0,0,none,13,high,low,high,low,1
