sequences,lid
none;none;none;none,0
none;none,1
none;none;none;none;none,2
none;none;none;none;none,3
none;none;none;none;none,4
none;none;none;none;none,5
none;none;none;none,6
none;none;none;none;none,7
none;none;none,8
none;none;none,9
none;none;none,10
none;case;none,11
none;none,12
none;none;none,13
none;none,14
none;none,15
none;none;none;none,16
none;none;none,17
none;none;none,18
none;none;none;none,19
case;none;none,20
none;none;none;none,21
none;none;none;none;none;none;none,22
none;none;none;none,23
none;none;none;none,24
none;none;none;none,25
none;none;none;case;none,26
none;none,27
none;none,28
none;none;none;none,29
none;none;none;none;none;none;none,30
none;none;none;none;none;none;none;none,31
none;case;none,32
none;none;none,33
none;none;none,34
none;none;none;none,35
none;none;none,36
none;none;none;case;case;none;none;none,37
none;none,38
none;none;none,39
none;none;case;case;none;none,40
none;none;none;none,41
none;none,42
none;none;none;none;none;none;none;none,43
none;none,44
none;none;none;none;none;none;none,45
none;case;none;case;none;case;none,46
none;none;none;none,47
none;none;none;none,48
none;none;none;case;none;none,49
none;none;none;none;none,50
none;case;none;none;none,51
none;none;none;none;none;none;none;none,52
none;none;none;none;case;none;none,53
none;none;none,54
none;case;none;none;none,55
none;none;none,56
none;none;none;none,57
none;case;case;none,58
none;none;none;none;none,59
none;none;none,60
none;none,61
none;case;case;none,62
none;none;none;none;none,63
none;case;none,64
none;none;none;none;none;none,65
none;none,66
