Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
none,2.854166666666667,1.5072541287805459,548.0,192,1.0
case,2.973958333333333,2.712072864689605,571.0,192,1.0
case -> none,1.234375,0.5436599115958798,237.0,190,0.9895833134651184
none -> case,1.0416666666666665,0.7002866528505015,200.0,155,0.8072916865348816
case -> case,1.0729166666666665,1.3785552165821258,206.0,114,0.59375
case -> case -> none,0.65625,0.6110350843818624,126.0,114,0.59375


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
