Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
high,2.5625,1.2632629707758134,41.0,16,1.0
high -> low,1.9375,0.9287087810503355,31.0,15,0.9375
low,4.625,2.825479310370779,74.0,15,0.9375
high -> low -> low,1.0625,0.7719024117939607,17.0,12,0.75
low -> low,1.6875,1.4930394055974097,27.0,12,0.75
low -> high,1.125,0.9574271077563381,18.0,11,0.6875
low -> high -> low,0.6875,0.6020797289396148,11.0,10,0.625
high -> low -> low -> low,0.625,0.7187952884282609,10.0,8,0.5
low -> low -> low,0.75,0.9309493362512627,12.0,8,0.5


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
