Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
low,4.416666666666667,2.8109633849474367,53.0,12,1.0
low -> low,1.9166666666666667,1.4433756729740643,23.0,9,0.75
low -> low -> low,1.25,1.0552897060221726,15.0,8,0.6666666865348816
low -> low -> low -> low,0.6666666666666666,0.6513389472789296,8.0,7,0.5833333134651184
high,0.6666666666666667,0.8876253645985945,8.0,6,0.5
high -> low,0.5833333333333333,0.6685579234215214,7.0,6,0.5


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
