Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
high,2.8421052631578947,1.3054214560092798,108.0,38,1.0
high -> low,1.5,0.8929150560368535,57.0,37,0.9736841917037964
low,3.5789473684210527,2.6470950824504635,136.0,37,0.9736841917037964
high -> low -> low,0.9473684210526315,0.6954434098279424,36.0,29,0.7631579041481018
low -> low,1.3947368421052633,1.3262316801437013,53.0,29,0.7631579041481018
high -> high,0.7894736842105262,0.6640536748430403,30.0,26,0.6842105388641357
low -> high,0.9210526315789473,0.881693056456553,35.0,25,0.6578947305679321
high -> high -> low,0.631578947368421,0.5413223364846866,24.0,23,0.6052631735801697


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
