sequences,lid
high;low;high;low,0
high;high,1
high;high;low;low;high,2
high;high;high;high;low,3
high;high;low;high;high,4
high;high;high;low;low,5
high;high;high;high,6
high;high;low;high;high,7
high;high;high,8
high;low;high,9
high;high;high,10
high;high;high,11
high;high,12
high;high;high,13
high;high,14
high;high,15
high;high;low;low,16
high;high;low,17
high;low;high,18
high;low;low;high,19
high;high;high,20
high;high;high;high,21
high;low;low;low;high;high;low,22
high;low;low;high,23
high;high;high;high,24
high;high;low;low,25
high;low;low;high;high,26
high;high,27
high;high,28
high;high;high;high,29
high;low;low;low;low;high;high,30
high;high;low;low;high;low;low;low,31
high;low;high,32
high;high;high,33
high;high;low,34
high;low;high;high,35
high;high;low,36
high;low;low;low;low;low;high;high,37
high;high,38
high;high;high,39
high;high;high;low;low;low,40
high;low;high;high,41
high;high,42
high;low;low;low;low;high;high;low,43
high;high,44
high;high;high;low;low;low;low,45
high;high;low;low;low;high;low,46
high;low;low;high,47
high;high;high;high,48
high;low;low;high;low;high,49
high;high;low;low;low,50
high;low;low;low;high,51
high;low;high;high;low;low;high;high,52
high;low;low;low;low;low;high,53
high;high;high,54
high;low;low;high;high,55
high;high;high,56
high;high;high;high,57
high;low;high;high,58
high;low;low;high;high,59
high;high;high,60
high;high,61
high;high;low;high,62
high;high;low;high;high,63
high;high;high,64
high;low;low;high;high;high,65
high;high,66
