Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
high,2.7981651376146788,0.9792269864518559,305.0,109,1.0
high -> high,0.926605504587156,0.6040974599189518,101.0,86,0.78899085521698
high -> low,0.9908256880733943,0.8332823633749795,108.0,80,0.7339449524879456
low,2.165137614678899,2.2791882955215446,236.0,80,0.7339449524879456
low -> high,0.6238532110091743,0.7173638834067733,68.0,56,0.5137614607810974
high -> low -> low,0.5871559633027523,0.6556168875402751,64.0,55,0.5045871734619141
low -> low,0.798165137614679,1.0609204294678511,87.0,55,0.5045871734619141


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
