Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
high,1.9166666666666665,1.7298624923456323,23.0,9,0.75
low,3.166666666666667,2.757908737804898,38.0,8,0.6666666865348816
high -> high,0.6666666666666667,0.6513389472789296,8.0,7,0.5833333134651184
low -> low,1.3333333333333333,1.3026778945578592,16.0,7,0.5833333134651184
low -> low -> low,0.8333333333333333,0.8348471099367218,10.0,7,0.5833333134651184
low -> low -> low -> low,0.5,0.5222329678670935,6.0,6,0.5


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
