Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
high,3.0952380952380953,1.5179174669933668,260.0,84,1.0
high -> low,1.4880952380952384,0.9505109294295376,125.0,78,0.9285714030265808
low,3.011904761904761,2.412288058579949,253.0,78,0.9285714030265808
high -> high,0.9523809523809523,0.7589587334966829,80.0,61,0.726190447807312
low -> low,1.0238095238095237,1.1404521453405312,86.0,54,0.6428571343421936
high -> low -> low,0.726190476190476,0.6276978491182861,61.0,53,0.6309523582458496
low -> high,0.9523809523809522,0.943011861642833,80.0,52,0.6190476417541504
high -> high -> low,0.6547619047619048,0.6110241771299169,55.0,50,0.5952380895614624


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
