Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
high,2.796875,1.4309190928427016,537.0,192,1.0
low,3.03125,2.549830607247166,582.0,173,0.9010416865348816
high -> low,1.5729166666666665,1.0756202804817305,302.0,172,0.8958333134651184
low -> high,0.9791666666666667,1.0433450701601907,188.0,118,0.6145833134651184
high -> low -> low,0.734375,0.7570026489195425,141.0,111,0.578125
low -> low,0.9739583333333335,1.1551609476643183,187.0,111,0.578125
high -> high,0.6145833333333334,0.611748702241852,118.0,105,0.546875


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
