Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
high,2.918367346938775,1.4554027892345005,143.0,49,1.0
high -> low,1.4285714285714284,0.9354143466934853,70.0,45,0.918367326259613
low,2.8571428571428568,2.3540744819709225,140.0,45,0.918367326259613
high -> high,0.9183673469387756,0.7592961294810467,45.0,34,0.6938775777816772
low -> high,0.8979591836734693,0.9184429296183766,44.0,30,0.6122449040412903
low -> low,0.9387755102040817,1.0879675865519873,46.0,30,0.6122449040412903
high -> low -> low,0.653061224489796,0.5969024350819845,32.0,29,0.5918367505073547
high -> high -> low,0.6326530612244898,0.6355403721447208,31.0,27,0.5510203838348389


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
