Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
error,2.6399999999999997,2.0897161482476294,858.0,325,1.0
none,3.8676923076923067,2.8149242743749516,1257.0,321,0.9876922965049744
error -> none,1.1230769230769233,0.659865593957791,365.0,287,0.8830769062042236
none -> error,1.0215384615384615,0.7176118460793608,332.0,258,0.7938461303710938
none -> none,1.2861538461538469,1.423336902922589,418.0,205,0.6307692527770996
error -> error,0.88,1.0862780491200223,286.0,174,0.5353845953941345
error -> none -> none,0.5446153846153846,0.5789600002257065,177.0,163,0.5015384554862976


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
