Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
none,2.8846153846153846,1.9042462672022877,75.0,26,1.0
none -> error,0.9615384615384615,0.9583639905910168,25.0,16,0.6153846383094788
error,2.807692307692308,3.006915107138621,73.0,16,0.6153846383094788
none -> none,0.923076923076923,0.9766504768063925,24.0,15,0.5769230723381042
none -> error -> error,0.6153846153846154,0.6373020054525532,16.0,14,0.5384615659713745
error -> error,1.1153846153846154,1.3364706678987932,29.0,14,0.5384615659713745


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
