Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
error,4.5625,2.5552234083669996,73.0,16,1.0
none,2.625,1.9958289839896939,42.0,16,1.0
none -> error,1.5625,0.7274384280931732,25.0,16,1.0
error -> error,1.8125,1.2763881332363862,29.0,14,0.875
none -> error -> error,1.0,0.5163977794943222,16.0,14,0.875
error -> error -> error,0.8125,0.8341662504161466,13.0,9,0.5625
error -> none,0.875,0.9574271077563381,14.0,9,0.5625
none -> error -> error -> error,0.5625,0.51234753829798,9.0,9,0.5625
error -> error -> error -> error,0.5,0.5163977794943222,8.0,8,0.5
none -> error -> error -> error -> error,0.5,0.5163977794943222,8.0,8,0.5


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
