Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
none,5.083333333333333,3.028901190901153,61.0,12,1.0
none -> none,2.4166666666666665,1.5050420310248864,29.0,12,1.0
none -> none -> none,1.4166666666666667,1.0836246694508318,17.0,9,0.75
none -> none -> none -> none,0.75,0.7537783614444091,9.0,7,0.5833333134651184
none -> none -> none -> none -> none,0.6666666666666666,0.7784989441615231,8.0,6,0.5
none -> none -> none -> none -> none -> none,0.5,0.5222329678670935,6.0,6,0.5


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
