Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
error,2.0,1.451932542547383,76.0,38,1.0
none,4.421052631578948,2.5535516225537602,168.0,38,1.0
error -> none,1.131578947368421,0.4748287105995937,43.0,37,0.9736841917037964
none -> none,1.631578947368421,1.2610817456749333,62.0,31,0.8157894611358643
none -> error,0.9473684210526316,0.655429235096407,36.0,30,0.7894737124443054
error -> none -> none,0.6842105263157895,0.5744686455769947,26.0,24,0.6315789222717285
none -> error -> none,0.5789473684210527,0.5517333348917078,22.0,21,0.5526315569877625
none -> none -> error,0.5,0.5067117097095317,19.0,19,0.5
none -> none -> none,0.7105263157894737,0.8670513790331902,27.0,19,0.5


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
