sequences,lid
high;low,0
high,1
high;high,2
high;high,3
high;high,4
high;high,5
high;high,6
high;high,7
high,8
high,9
high,10
high,11
high,12
high,13
high,14
high,15
high;high,16
high,17
high,18
high;low,19
high,20
high;high,21
high;low;low,22
high;low,23
high;high,24
high;high,25
high;low,26
high,27
high,28
high;high,29
high;low;low,30
high;high;low;low,31
high,32
high,33
high,34
high;low,35
high,36
high;low;low;low,37
high,38
high,39
high;high;high,40
high;low,41
high,42
high;low;low;low,43
high,44
high;high;high,45
high;high;low,46
high;low,47
high;high,48
high;low;low,49
high;high,50
high;low,51
high;low;high;high,52
high;low;low,53
high,54
high;low,55
high,56
high;high,57
high;low,58
high;low,59
high,60
high,61
high;high,62
high;high,63
high,64
high;low;low,65
high,66
