Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
high,3.6800000000000006,1.8110770276274828,1196.0,325,1.0
low,2.827692307692308,2.40007122401438,919.0,280,0.8615384697914124
high -> low,1.5384615384615385,1.1314379995468673,500.0,270,0.8307692408561707
low -> high,1.3261538461538458,1.1019450988818213,431.0,251,0.7723076939582825
high -> high,1.0892307692307692,0.8896044128690068,354.0,245,0.7538461685180664
high -> low -> high,0.6153846153846155,0.64051261522035,200.0,175,0.5384615659713745
high -> high -> low,0.6030769230769231,0.6799530736280129,196.0,163,0.5015384554862976


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
