Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
high,2.7898550724637676,1.7276324399176566,385.0,136,0.9855072498321533
low,2.6739130434782603,2.2641704414649992,369.0,120,0.8695651888847351
high -> low,1.3768115942028984,1.0820560218016202,190.0,113,0.8188405632972717
low -> high,0.9637681159420289,1.1231435309401814,133.0,79,0.5724637508392334
high -> high,0.7173913043478259,0.7640568866617331,99.0,75,0.54347825050354
low -> low,0.8333333333333334,1.000608087620805,115.0,72,0.52173912525177


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
