Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
high,1.8333333333333333,1.2673044646258476,22.0,10,0.8333333134651184
low,3.25,2.70100991213556,39.0,10,0.8333333134651184
low -> low,1.25,1.2880570286640687,15.0,7,0.5833333134651184
high -> low,0.9166666666666667,1.2401124093721456,11.0,6,0.5
low -> high,0.6666666666666666,0.8876253645985945,8.0,6,0.5
low -> low -> low,0.75,0.8660254037844386,9.0,6,0.5


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
