Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
high,3.9375,2.2043617049649065,378.0,96,1.0
low,3.322916666666667,2.6177322112516705,319.0,86,0.8958333134651184
low -> high,1.5833333333333335,1.1018326042186706,152.0,81,0.84375
high -> low,1.6458333333333335,1.16057305869187,158.0,80,0.8333333134651184
high -> high,1.21875,1.0877608580062652,117.0,71,0.7395833134651184
high -> low -> high,0.6666666666666666,0.7206235116994414,64.0,53,0.5520833134651184
low -> low,0.9583333333333334,1.1600060495910005,92.0,52,0.5416666865348816
high -> low -> low,0.7291666666666665,0.8763460824014395,70.0,49,0.5104166865348816
low -> high -> high,0.6354166666666667,0.7125904066988962,61.0,49,0.5104166865348816


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
