Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
low,4.178082191780821,3.6260725070638093,305.0,66,0.9041095972061157
high,3.0958904109589036,2.582872988885115,226.0,64,0.8767123222351074
high -> low,1.6027397260273972,1.5788509009490743,117.0,52,0.7123287916183472
low -> low,1.424657534246575,1.5267777272119551,104.0,48,0.6575342416763306
low -> high,1.4109589041095891,1.640084825366903,103.0,46,0.6301369667053223
high -> high,0.8082191780821917,0.9228207699851478,59.0,42,0.5753424763679504


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
