Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
high,3.538461538461538,1.6076739049370006,322.0,91,1.0
low,2.4725274725274726,2.2624502908752104,225.0,77,0.8461538553237915
high -> low,1.4065934065934065,1.085029666548052,128.0,75,0.8241758346557617
high -> high,1.0659340659340661,0.8138003823242298,97.0,67,0.7362637519836426
low -> high,1.1208791208791211,1.0201869636402146,102.0,63,0.692307710647583
high -> low -> high,0.6043956043956045,0.5750192437189654,55.0,51,0.5604395866394043


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
