Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
high,3.0408163265306127,1.6067459827431416,149.0,49,1.0
low,2.7346938775510203,2.3163864657054534,134.0,44,0.8979591727256775
high -> low,1.4897959183673468,1.1015604269170443,73.0,43,0.8775510191917419
low -> high,1.0816326530612246,1.1335183922540608,53.0,31,0.6326530575752258
high -> high,0.8163265306122449,0.781917232079668,40.0,29,0.5918367505073547
low -> low,0.8163265306122449,1.054226995396689,40.0,26,0.5306122303009033
high -> low -> high,0.5714285714285715,0.6123724356957945,28.0,25,0.5102040767669678


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
