Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
high,2.746376811594203,1.8759390610108477,379.0,134,0.9710144996643066
low,2.7173913043478257,2.250674288046305,375.0,121,0.8768116235733032
high -> low,1.3260869565217392,1.0120662068174746,183.0,113,0.8188405632972717
low -> high,0.8913043478260875,1.0580575964942585,123.0,75,0.54347825050354
low -> low,0.8840579710144927,1.0257449759754702,122.0,75,0.54347825050354
high -> high,0.717391304347826,0.8282346932344229,99.0,72,0.52173912525177


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
