Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
high,2.6923076923076925,1.8712398193546602,70.0,26,1.0
high -> low,1.4615384615384615,0.9478721108153454,38.0,24,0.9230769276618958
low,3.0,2.039607805437114,78.0,24,0.9230769276618958
high -> low -> low,0.8461538461538461,0.612686392361227,22.0,19,0.7307692170143127
low -> low,1.1153846153846154,0.8638019716079873,29.0,19,0.7307692170143127
low -> high,0.9230769230769229,1.197433152140926,24.0,14,0.5384615659713745


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
