Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
high,4.017441860465116,2.323220786141821,691.0,170,0.9883720874786377
high -> high,1.325581395348837,1.0644918669752808,228.0,143,0.8313953280448914
low,2.563953488372093,2.240374487842876,441.0,142,0.8255813717842102
low -> high,1.372093023255814,1.199868527182934,236.0,128,0.7441860437393188
high -> low,1.3081395348837206,1.1614384221672407,225.0,125,0.7267441749572754
low -> high -> high,0.6162790697674417,0.6868625959813174,106.0,90,0.5232558250427246


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
