Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
high,4.45,2.54382637606794,89.0,20,1.0
low,3.85,2.277463963548745,77.0,19,0.949999988079071
high -> high,1.4,1.046296727561194,28.0,18,0.8999999761581421
high -> low,1.8,1.1964860832322377,36.0,17,0.8500000238418579
low -> high,1.7,1.1285761872936693,34.0,17,0.8500000238418579
low -> low,1.25,1.019545822516343,25.0,15,0.75
low -> high -> high,0.75,0.5501196042201808,15.0,14,0.699999988079071
low -> low -> high,1.05,0.9445132413883326,21.0,14,0.699999988079071
high -> high -> low,0.7,0.5712405705774793,14.0,13,0.6499999761581421
low -> high -> low,0.75,0.6386663736585051,15.0,13,0.6499999761581421
high -> low -> low,1.0,1.0760551736979407,20.0,12,0.6000000238418579
high -> high -> high,0.7,0.8013147091860318,14.0,11,0.550000011920929


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
