sequences,lid
low;low;high;high,0
high;high,1
high;high;high;high;low,2
high;high;high;high;high,3
high;low;high;high;low,4
high;high;high;low;low,5
high;high;high;low,6
high;high;low;high;low,7
high;high;low,8
high;low;high,9
high;high;high,10
high;high;low,11
high;high,12
high;high;low,13
high;high,14
high;high,15
high;high;low;high,16
high;high;high,17
high;low;high,18
high;low;high;high,19
high;low;high,20
high;high;high;low,21
high;low;low;high;high;low;low,22
high;low;high;high,23
high;high;high;low,24
high;high;low;high,25
high;low;high;high;low,26
high;high,27
high;high,28
high;high;high;low,29
high;high;high;low;high;high;low,30
high;high;low;low;high;low;low;high,31
high;high;high,32
high;high;high,33
high;high;low,34
high;high;high;low,35
high;high;low,36
high;low;high;high;low;low;low;high,37
high;high,38
high;high;high,39
high;high;high;low;low;low,40
high;low;high;high,41
high;high,42
high;low;high;low;low;high;low;low,43
high;high,44
high;high;high;high;low;high;low,45
high;high;low;high;low;high;low,46
low;low;low;high,47
high;high;high;low,48
high;low;high;high;low;low,49
high;high;low;low;high,50
high;high;low;low;high,51
high;low;low;low;high;low;high;low,52
high;low;high;low;high;low;high,53
high;high;low,54
high;high;low;high;low,55
high;high;low,56
high;high;high;low,57
high;high;high;low,58
high;low;high;high;low,59
high;high;low,60
high;high,61
high;high;low;low,62
high;high;low;low;low,63
high;high;low,64
low;low;low;high;high;low,65
high;high,66
