Pattern,I-Support (I-Frequency Mean),I-Frequency Std Dev,I-Frequency Total,S-Frequency Total,S-Support (S-Frequency %)
high,3.771825396825396,2.044611752377958,1901.0,499,0.9900793433189392
low,2.867063492063491,2.8536514413369853,1445.0,425,0.8432539701461792
high -> low,1.5059523809523812,1.2452551239692415,759.0,408,0.8095238208770752
high -> high,1.1329365079365088,0.9667362793099828,571.0,384,0.761904776096344
low -> high,1.3115079365079363,1.2437463879230632,661.0,370,0.7341269850730896
high -> low -> high,0.5972222222222223,0.6809479287961973,301.0,252,0.5


Dataset Info: ,Dataset: AllStudents
Applied Algorithm(s) Info: ,Sequential Pattern Mining Parameters: MinSupport = 0.5; MinGap = 0; MaxGap = 0; RegEx = .*; Calculate i-frequency? = true; Normalize by sequence length? = false; Count overlapping matches in i-frequency? = false; ; Result Set Sorting Parameters:   MD key for ordering results = SSupport;   Flag whether to sort descending (vs. ascending) = true;   Default value for sort (if no MD value found) = 0.0; 
